user_id,category,item_id,rating,clicked
1,home,item-001,2.0,0
1,fashion,item-002,3.3,1
1,books,item-003,4.6,1
1,sports,item-004,0.9,0
1,electronics,item-005,2.2,0
1,home,item-006,3.5,1
1,fashion,item-007,4.8,1
1,books,item-008,1.1,0
1,sports,item-009,2.4,0
1,electronics,item-010,3.7,1
2,home,item-001,2.7,0
2,fashion,item-002,4.0,1
2,books,item-003,0.3,0
2,sports,item-004,1.6,0
2,electronics,item-005,2.9,0
2,home,item-006,4.2,1
2,fashion,item-007,0.5,0
2,books,item-008,1.8,0
2,sports,item-009,3.1,1
2,electronics,item-010,4.4,1
3,home,item-001,3.4,1
3,fashion,item-002,4.7,1
3,books,item-003,1.0,0
3,sports,item-004,2.3,0
3,electronics,item-005,3.6,1
3,home,item-006,4.9,1
3,fashion,item-007,1.2,0
3,books,item-008,2.5,0
3,sports,item-009,3.8,1
3,electronics,item-010,0.1,0
4,home,item-001,4.1,1
4,fashion,item-002,0.4,0
4,books,item-003,1.7,0
4,sports,item-004,3.0,1
4,electronics,item-005,4.3,1
4,home,item-006,0.6,0
4,fashion,item-007,1.9,0
4,books,item-008,3.2,1
4,sports,item-009,4.5,1
4,electronics,item-010,0.8,0
5,home,item-001,4.8,1
5,fashion,item-002,1.1,0
5,books,item-003,2.4,0
5,sports,item-004,3.7,1
5,electronics,item-005,0.0,0
5,home,item-006,1.3,0
5,fashion,item-007,2.6,0
5,books,item-008,3.9,1
5,sports,item-009,0.2,0
5,electronics,item-010,1.5,0
6,home,item-001,0.5,0
6,fashion,item-002,1.8,0
6,books,item-003,3.1,1
6,sports,item-004,4.4,1
6,electronics,item-005,0.7,0
6,home,item-006,2.0,0
6,fashion,item-007,3.3,1
6,books,item-008,4.6,1
6,sports,item-009,0.9,0
6,electronics,item-010,2.2,0
7,home,item-001,1.2,0
7,fashion,item-002,2.5,0
7,books,item-003,3.8,1
7,sports,item-004,0.1,0
7,electronics,item-005,1.4,0
7,home,item-006,2.7,0
7,fashion,item-007,4.0,1
7,books,item-008,0.3,0
7,sports,item-009,1.6,0
7,electronics,item-010,2.9,0
8,home,item-001,1.9,0
8,fashion,item-002,3.2,1
8,books,item-003,4.5,1
8,sports,item-004,0.8,0
